DISTRICT_id,Active
541,4
23,2
2,8
60,36
18,162
63,43
52,146
44,105
71,116
53,13
51,7
72,15
61,7
21,47
19,578
17,299
15,351
7,33
26,98
73,67
66,389
42,64
24,24
65,96
62,37
11,1
542,27
39,99
14,12
37,840
64,222
13,28
75,104
46,225
9,10
74,53
27,5246
45,128
43,116
1,3
68,84
55,53
20,27
32,203
70,21
35,709
482,149
6,487
49,3
29,606
30,48
47,1
481,229
28,513
31,540
4,162
33,407
34,388
41,56
5,609
38,120
10,49
12,12
16,213
22,44
69,63
25,24
67,463
3,8
40,35
50,42
54,13
