DISTRICT_id,Active

30,28

61,3

53,40

51,6

541,4

14,12

12,7

42,62

72,12

62,12

7,29

22,41

54,21

71,126

39,109

21,52

47,1

481,250

41,50

5,781

38,118

31,478

19,517

17,257

2,10

45,139

15,390

43,104

8,1

66,430

69,104

25,24

60,36

1,3

68,98

27,6246

9,13

74,49

64,351

67,387

3,6

23,2

75,97

49,1

6,500

46,302

44,94

70,23

73,65

26,133

542,31

11,1

18,146

50,38

10,34

13,23

482,185

35,860

16,193

20,14

55,17

28,510

4,165

33,262

34,204

40,41

52,151

63,48

65,124

24,30

29,718

32,191

37,868

